"`repo_id`","`contributors`"
"16015","77"
"16060","40"
"16166","12"
"16282","27"
"16392","22"
"16401","22"
"16451","15"
"16640","11"
"16719","14"
"16948","12"
"16968","33"
"17032","11"
"17042","11"
"17196","15"
"17307","18"
"17345","11"
"17473","234"
"17589","84"
"17630","141"
"17635","10"
"17735","11"
"17919","34"
"18070","12"
"18116","18"
"18159","301"
"18170","19"
"18217","30"
"18260","10"
"18353","16"
"18460","10"
"18578","99"
"18716","13"
"18742","10"
"19050","10"
"19070","74"
"19117","12"
"19220","14"
"19428","19"
"19443","170"
"19616","72"
"19746","305"
"19844","113"
"19849","12"
"20182","41"
"20225","10"
"20429","83"
"20500","40"
"20700","10"
"20768","20"
"20786","112"
"20796","15"
"20849","12"
"20984","82"
"21093","28"
"21168","49"
"21276","17"
"21417","25"
"21435","64"
"21468","29"
"21530","34"
"21597","27"
"21703","124"
"21750","20"
"21799","11"
"21986","26"
"22016","26"
"22048","29"
"22056","26"
"22073","29"
"22138","11"
"22189","14"
"22229","11"
"22419","14"
"22588","10"
"22616","15"
"22652","18"
"22668","103"
"22811","76"
"22841","11"
"22964","21"
"23032","16"
"23043","105"
"23052","12"
"23280","31"
"23440","11"
"23593","16"
"23623","75"
"23635","25"
"23710","21"
"23903","10"
"24177","12"
"24397","37"
"24423","171"
"24440","11"
"24467","17"
"24575","12"
"24664","11"
"24741","15"
"24761","13"
"24828","11"
"25097","235"
"25139","15"
"25156","91"
"25326","18"
"25467","14"
"25590","43"
"25822","11"
"26287","256"
"26423","29"
"26591","18"
"26697","11"
"26946","13"
"27140","42"
"27142","11"
"27329","11"
"27412","23"
"27693","82"
"27716","14"
"27859","82"
"27868","10"
"27986","32"
"28021","10"
"28030","11"
"28175","83"
"28270","37"
"28304","11"
"28467","11"
"28758","48"
"28802","50"
"28824","104"
"28915","323"
"29408","11"
"29465","13"
"29536","14"
"29576","15"
"30178","100"
"30491","13"
"30633","18"
"30634","18"
"30965","11"
"31149","62"
"31779","42"
"31845","22"
"31961","22"
"31975","22"
"31995","22"
"32076","34"
"32709","301"
"33064","15"
"33145","80"
"33666","16"
"33858","14"
"33958","20"
"34268","29"
"34279","15"
"34494","14"
"34627","14"
"34756","10"
"34858","29"
"34884","26"
"35020","97"
"35135","14"
"35311","74"
"35349","21"
"35374","10"
"35378","15"
"35649","19"
"35704","14"
"35728","14"
"35737","10"
"35770","33"
"35804","128"
"35846","20"
"36005","19"
"36089","10"
"37321","12"
"37382","13"
"37553","15"
"37628","12"
"37843","26"
"38683","14"
"38823","15"
"38896","28"
"39781","39"
"39919","12"
"40080","13"
"40120","10"
"40322","17"
"40388","11"
